Text,Target,Dimension,Annotator_1,Annotator_2,Annotator_3,Annotator_4,Annotator_5,Annotator_6,Annotator_7
""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,Donald Trump,Competence,-1,0,0,-2,0,,
""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,Donald Trump,Sociability,1,0,-2,-1,-1,-3,
""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,Donald Trump,Trust,0,0,0,2,0,,
""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,Hillary Clinton,Competence,1,2,0,2,2,,
""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,Hillary Clinton,Sociability,-2,2,-1,-1,1,-2,
""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,Hillary Clinton,Trust,0,0,0,-3,0,,
#AskBobby Do you think #HillaryClinton has turned over all of those emails on her private server she destroyed!,Hillary Clinton,Competence,0,-1,-2,-2,2,,
#AskBobby Do you think #HillaryClinton has turned over all of those emails on her private server she destroyed!,Hillary Clinton,Sociability,-3,-1,-2,-2,-1,-2,
#AskBobby Do you think #HillaryClinton has turned over all of those emails on her private server she destroyed!,Hillary Clinton,Trust,-3,-1,-1,-3,-3,,
#AskPOTUS Would you fire the #GOP congress for not doing their job if you could? #GOPFail,Barack Obama,Competence,1,3,1,0,1,,
#AskPOTUS Would you fire the #GOP congress for not doing their job if you could? #GOPFail,Barack Obama,Sociability,-3,0,0,-3,0,,
#AskPOTUS Would you fire the #GOP congress for not doing their job if you could? #GOPFail,Barack Obama,Trust,-3,0,0,0,-2,,
#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom =,Religious people,Competence,-2,-1,-2,-3,-3,-2,
#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom =,Religious people,Sociability,-3,-2,-2,-3,1,-1,
#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom =,Religious people,Trust,-3,-2,-3,0,-3,,
"#Clintonemails are just a prelude of what her presidency could be if elected, a myrad of scandals @GOP @FloridaGOP @marcorubio",Hillary Clinton,Competence,-2,0,-1,2,-2,-2,
"#Clintonemails are just a prelude of what her presidency could be if elected, a myrad of scandals @GOP @FloridaGOP @marcorubio",Hillary Clinton,Sociability,-1,-3,-2,-3,-1,,
"#Clintonemails are just a prelude of what her presidency could be if elected, a myrad of scandals @GOP @FloridaGOP @marcorubio",Hillary Clinton,Trust,-2,-3,-3,-3,-3,,
"#CryBabyTrump just give up , you're finished .",Donald Trump,Competence,-2,-2,-1,-2,0,,
"#CryBabyTrump just give up , you're finished .",Donald Trump,Sociability,-1,-3,-1,-2,-1,,
"#CryBabyTrump just give up , you're finished .",Donald Trump,Trust,-2,-2,-1,-3,-3,,
"#DanaPerino is getting more snitful by the minute. Says Trump isn't believable, can't win. Hide&watch! #MakeAmericaGreatAgain",Donald Trump,Competence,1,-1,2,1,0,,
"#DanaPerino is getting more snitful by the minute. Says Trump isn't believable, can't win. Hide&watch! #MakeAmericaGreatAgain",Donald Trump,Sociability,1,-2,3,3,-1,,
"#DanaPerino is getting more snitful by the minute. Says Trump isn't believable, can't win. Hide&watch! #MakeAmericaGreatAgain",Donald Trump,Trust,-2,3,2,0,2,,
"#DemocRAT2014Slogans: ""Why work? When you can VOTE DemocRAT - twice!"" #tcot",Hillary Clinton,Competence,-2,0,0,0,0,2,
