Text,Target,Competence,Sociability,Trust
""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,Donald Trump,-1,-1,0
""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,Hillary Clinton,1,0,-1
#AskBobby Do you think #HillaryClinton has turned over all of those emails on her private server she destroyed!,Hillary Clinton,-1,-2,-2
#AskPOTUS Would you fire the #GOP congress for not doing their job if you could? #GOPFail,Barack Obama,1,-1,-1
#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom =,Religious people,-2,-2,-2
"#Clintonemails are just a prelude of what her presidency could be if elected, a myrad of scandals @GOP @FloridaGOP @marcorubio",Hillary Clinton,-1,-2,-3
"#CryBabyTrump just give up , you're finished .",Donald Trump,-1,-2,-2
"#DanaPerino is getting more snitful by the minute. Says Trump isn't believable, can't win. Hide&watch! #MakeAmericaGreatAgain",Donald Trump,1,1,1
"#DemocRAT2014Slogans: ""Why work? When you can VOTE DemocRAT - twice!"" #tcot",Hillary Clinton,0,-1,-2
"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",Barack Obama,0,-1,-1
"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",Hillary Clinton,0,0,-2
#EpicLiberalFail Hilary lied about Banghazi and is caught on audio biahahaha #p2 #uniteblue #libcrib #libtards,Hillary Clinton,-1,-2,-3
#Feminists can now prove Wage Gap... yet no lawsuits have come forward of women paid less... maybe it doesn't exist.,Women,0,-1,-1
"#Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. #bodyautonomy",Women,-1,0,0
#HILLARY has been lying for so long that her first fib was in morse code #HillNo2016,Hillary Clinton,2,-2,-3
#Hillary is as transparent as a brick wall #LibertyNotHillary,Hillary Clinton,0,-1,-2
#Hillary to stop for #pizza today to garner the #Italian vote. #MSM is worthless. #libertynothillary #HillNo,Hillary Clinton,-1,-2,-2
#Hillary's still very weak among grassroots - as shown by how strong #BernieSanders got how fast on how little. @user,Hillary Clinton,-1,-1,-1
#HillaryClinton We've all been waiting for your rainbow-striped pantsuit  #fashionista #LoveWins,Hillary Clinton,1,0,0
#HillaryClinton has yet to release @user donors... Public deserves disclosure. #Scandals #lies #Clintons,Hillary Clinton,1,-2,-3
#HillaryClinton is hiring #Monsanto lawyers to help her become President. The next president shouldn't be aided by Monsanto,Hillary Clinton,-1,-1,-2
#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders,Hillary Clinton,0,-1,-1
"#HillaryClinton might want to book smaller venues for her rallies, if not many empty seats will be seen on TV, that's bad lol",Hillary Clinton,-1,-1,0
"#HillaryClinton wants to be elected (thinks she's entitled)to WORK 4 the PEOPLE, & yet, she wants nothing to do with them!#peons",Hillary Clinton,0,-2,-2
"#HillaryDebateQuestion So you profess admiration for #MargaretSanger who wanted to rid the country of ""negros"". Explain please?",Hillary Clinton,0,-2,-2
#HillaryInNH is like Adolph Hitler in a Synagogue.   #tcot #uniteblue #ctot,Hillary Clinton,-1,-3,-2
#HillaryonCNN   The wicked person flees when no one is chasing them - Proverbs,Hillary Clinton,-1,-1,-1
#HillarysAccomplishments Being a total clusterfuck at anything she does. #ReadyForHillary #UniteBlue #TopProg #TPOT #LibCrib,Hillary Clinton,-2,-3,-1
#INeedMeninist because @HillaryClinton is running for president...do I need to say more?,Hillary Clinton,1,-1,-1
"#IfIhadAdollarFor wondering, was I that stupid when I was a #Democrats? #Obama #2A #NoAmnesty #WakeUpAmerica",Barack Obama,-2,-1,-2
"#LikeAFeminist I think any woman who doesn't identify as a feminist has ""internalised misogyny",Women,-1,-1,-1
#LoveWins on the day I get my Hillary gear! #Yaaas #Pride,Hillary Clinton,2,1,2
"#NoHillary2016 & her #PredatorRat, too. MT ""@user: We need to get these stickers up nationwide! #tcot #RedNationRising",Hillary Clinton,-1,-2,-3
#NothingMoreAmericanThan complaining about Mexicans when you've been marketing off their labor.,Donald Trump,0,-1,-2
#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency????,Barack Obama,-1,-1,-3
#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency????,Hillary Clinton,-1,-2,-1
#Obama intervenes on behalf of #Greece = Hello #drachma  Socialism = equality of misery  #tcot #pjnet,Barack Obama,0,-1,-2
"#Obama is riding high!! #ObamaCare #LoveWins #Republicans tearing out their hair, whatever is left of it ..Next is #SCOTUS",Barack Obama,2,1,2
#POTUS seals his legacy w/ 1/2 doz wins. The #GOP agenda? STILL!! Repeal #Gun laws & #Obamacare Ban Access 2 #TotalLosers #NoIdeas,Barack Obama,0,0,-1
#PeoplesDebate Juvenile hysterics from that woman. Killing babies is bodily autonomy? People dying of neglect but lets have #VinB,Women,0,-1,-2
"#PrezTrump had a great week, he's the BIG news story, mission accomplished. #tcot #TeaParty",Donald Trump,2,1,2
#ProLifeYouth if you are truly a feminist you would be fighting for the woman's life that is in the womb. #AllLivesMatter,Women,1,0,1
#Prolife laws kill women. Real #feminists are #prochoice. Calling us #feminazi? Because of course you have no arguments. #fem2,Women,1,0,2
"#Putin, #NothingMoreAmericanThan voting for a politician to lead the country when she can't even handle email. #think",Hillary Clinton,-1,-2,-3
"#Putin, the last thing the US needs right now is another #Clinton or #Bush in the White house. We're a dynasty now? #Jeb2016",Hillary Clinton,-1,-2,-2
"#Rapeculture is basically a FABLE. It has almost no reason on its side, but plenty of emotion. #rape #women #antifeminism #antiSJW",Women,-3,-2,-2
"#SharkRocket ""Real People, Real Results"" commercial only includes women - So, men don't vacuum? #NotBuyingIt",Women,-1,0,1
"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO",Hillary Clinton,-2,-1,-2
"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO",Women,-1,-1,-2
"#TheDonald can't keep a beauty pageant afloat and wants to be the President?  Aw, hell no.",Donald Trump,-1,-1,-2
#Trump is ruining a party quicker than the police! #gop,Donald Trump,-1,-2,-2
"#Trump say he will donate his plasma , he very kind . He have donate his body fluids for many years and he always like to keep it secret",Donald Trump,1,-1,0
"#U2ieTour Wish the lads would've matured past Christianity, like I did. But I got a science education. They didn't. SoTheyR stuck.",Religious people,-2,-1,-1
"#WeNeedFeminism because #NoMeansNo it doesnt mean yes, it doesnt mean try harder!  #YesAllWomen @yesallwomen #RT",Women,1,2,2
#Weneedfeminism because Twitter has its very own misogynist harassment machine. #YesAllWomen #HeForShe #Feminist,Women,0,1,0
"#WhatILearnedToday @HillaryClinton already admitted to having at least 2 devices, more lies, it never stops",Hillary Clinton,-1,-1,-3
"#WhyImNotVotingForHillary she calls education a ""non-family enterprise"" #ImCommitted2DefeatHillary Are you? #ncpol @GOP",Hillary Clinton,0,-1,-2
#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues,Women,1,0,0
"#antichoice NEVER try to police men over sex, but punishing women puts  them into a frenzy.",Women,-1,-1,0
#greta Trump is absolutely on fire right now! He is a good man with a great family. He is the medicine this country needs!,Donald Trump,2,2,3
#hillaryclinton is a champion of data removal.,Hillary Clinton,-2,-1,-2
#mtp @user How is deleting emails -part of the government record -different from erasing parts of a tape? #nixon #p2,Hillary Clinton,0,0,-2
"#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump",Donald Trump,1,1,3
"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices",Women,2,1,2
#yesallwomen are #always #unstoppable if they cry to get their way #likeagirl   #GamerGate,Women,0,-1,0
& I bet that @HillaryClinton is thee best choice for President in 2016she's the next best one for the people  #Vote,Donald Trump,1,1,-1
& I bet that @HillaryClinton is thee best choice for President in 2016she's the next best one for the people  #Vote,Hillary Clinton,2,2,3
"''this is the planet on which we live, it's the only one we've got and we've got to protect it.'' #Obama #Attenborough",Barack Obama,1,2,1
"''this is the planet on which we live, it's the only one we've got and we've got to protect it.'' #Obama #Attenborough",Environmentalists,1,2,2
'Hilary is not electable' then you stand no chance @realDonaldTrump #carnivalbarker,Donald Trump,-1,-2,-2
'Hilary is not electable' then you stand no chance @realDonaldTrump #carnivalbarker,Hillary Clinton,-2,0,0
'Hillary-speak' campaign rhetoric is going to be the death of me. @user,Hillary Clinton,0,-1,-1
"*watching house of cards with my dad* ""I could be First Lady."" ""Why not president?"" ""YEAH DAD! Next woman president right here!""",Women,1,1,2
",@realDonaldTrump trumps presidential dreams r about as real as KimJonguns unicorns.",Donald Trump,-3,-1,-3
". @SenatorKitchen @nbc how deeply offensive such comments are not only to Mexican-Americans, but Latino Americans in general.",Donald Trump,0,-1,-1
. @realDonaldTrump American was great until you embarrassed us all to death,Donald Trump,-1,-2,-2
...because #god made it that way is literally not ever the answer. Keep curiosity alive.,Religious people,-1,-1,-1
.@DannyZuker   With ONE speech @realDonaldTrump managed to financially screw himself.  Imagine what he can do for us as POTUS!,Donald Trump,-2,0,-2
.@FoxNews @brithume ok.. So where are these emails coming from? Didnt @HillaryClinton already say the server was erased? #LIES,Hillary Clinton,-1,-1,-2
.@HillaryClinton Looking 4ward 2 hearing your Economic Agenda on Monday July13. WOW a candidate talking Specifics & not Rhetoric!,Hillary Clinton,2,2,2
".@HillaryClinton The spatula seems appropriate, given that it can be used to easily flip positions if the heat gets to high.",Hillary Clinton,-2,-1,-1
.@HillaryClinton What's the ambient temperature in #Hell today? Use that as a guide!,Hillary Clinton,-1,-2,-3
".@HillaryClinton blames her lack of trust among the populace on @GOP, forgetting that she's a lying, conniving, murderous, cheat.",Hillary Clinton,0,-3,-3
.@HillaryClinton is a droid & someone's programmed her to say things - thinks she doesn't have to WORK to win so she ISN'T!,Hillary Clinton,-2,-1,-2
.@HillaryClinton is a liar & corrupt.  Period. End of story.  #criminal #liar #hillaryforprison #uppers #tcot,Hillary Clinton,-2,-3,-3
".@NewtGingrich on @HillaryClinton: ""She's very formidable... she's a very competent person.",Hillary Clinton,2,2,3
.@jaketapper The way @HillaryClinton keeps lying I swear her father's real last name is Geppetto. #TCOT #WakeUpAmerica,Hillary Clinton,-1,-2,-3
.@nbc ends relationship with @realDonaldTrump over his disgusting derogatory remarks. This man ha no place in the White House.,Donald Trump,-2,-3,-3
.@realDonaldTrump is the real deal folks. He tells the truth. Get used to it!,Donald Trump,3,2,2
