Text,Target,Competence,Sociability,Trust
#AskBobby Do you think #HillaryClinton has turned over all of those emails on her private server she destroyed!,Hillary Clinton,-1,-2,-2
"#DanaPerino is getting more snitful by the minute. Says Trump isn't believable, can't win. Hide&watch! #MakeAmericaGreatAgain",Donald Trump,1,1,1
"#DemocRAT2014Slogans: ""Why work? When you can VOTE DemocRAT - twice!"" #tcot",Hillary Clinton,0,-1,-2
#Feminists can now prove Wage Gap... yet no lawsuits have come forward of women paid less... maybe it doesn't exist.,Women,0,-1,-1
"#Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. #bodyautonomy",Women,-1,0,0
#HILLARY has been lying for so long that her first fib was in morse code #HillNo2016,Hillary Clinton,2,-2,-3
#Hillary is as transparent as a brick wall #LibertyNotHillary,Hillary Clinton,0,-1,-2
#Hillary to stop for #pizza today to garner the #Italian vote. #MSM is worthless. #libertynothillary #HillNo,Hillary Clinton,-1,-2,-2
#Hillary's still very weak among grassroots - as shown by how strong #BernieSanders got how fast on how little. @user,Hillary Clinton,-1,-1,-1
#HillaryClinton We've all been waiting for your rainbow-striped pantsuit  #fashionista #LoveWins,Hillary Clinton,1,0,0
#HillaryClinton is hiring #Monsanto lawyers to help her become President. The next president shouldn't be aided by Monsanto,Hillary Clinton,-1,-1,-2
"#HillaryClinton might want to book smaller venues for her rallies, if not many empty seats will be seen on TV, that's bad lol",Hillary Clinton,-1,-1,0
#HillaryonCNN   The wicked person flees when no one is chasing them - Proverbs,Hillary Clinton,-1,-1,-1
"#LikeAFeminist I think any woman who doesn't identify as a feminist has ""internalised misogyny",Women,-1,-1,-1
#LoveWins on the day I get my Hillary gear! #Yaaas #Pride,Hillary Clinton,2,1,2
#NothingMoreAmericanThan complaining about Mexicans when you've been marketing off their labor.,Donald Trump,0,-1,-2
"#Obama is riding high!! #ObamaCare #LoveWins #Republicans tearing out their hair, whatever is left of it ..Next is #SCOTUS",Barack Obama,2,1,2
#POTUS seals his legacy w/ 1/2 doz wins. The #GOP agenda? STILL!! Repeal #Gun laws & #Obamacare Ban Access 2 #TotalLosers #NoIdeas,Barack Obama,0,0,-1
#PeoplesDebate Juvenile hysterics from that woman. Killing babies is bodily autonomy? People dying of neglect but lets have #VinB,Women,0,-1,-2
"#PrezTrump had a great week, he's the BIG news story, mission accomplished. #tcot #TeaParty",Donald Trump,2,1,2
#ProLifeYouth if you are truly a feminist you would be fighting for the woman's life that is in the womb. #AllLivesMatter,Women,1,0,1
#Prolife laws kill women. Real #feminists are #prochoice. Calling us #feminazi? Because of course you have no arguments. #fem2,Women,1,0,2
"#Rapeculture is basically a FABLE. It has almost no reason on its side, but plenty of emotion. #rape #women #antifeminism #antiSJW",Women,-3,-2,-2
"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO",Hillary Clinton,-2,-1,-2
"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO",Women,-1,-1,-2
"#TheDonald can't keep a beauty pageant afloat and wants to be the President?  Aw, hell no.",Donald Trump,-1,-1,-2
"#U2ieTour Wish the lads would've matured past Christianity, like I did. But I got a science education. They didn't. SoTheyR stuck.",Religious people,-2,-1,-1
#Weneedfeminism because Twitter has its very own misogynist harassment machine. #YesAllWomen #HeForShe #Feminist,Women,0,1,0
"#WhatILearnedToday @HillaryClinton already admitted to having at least 2 devices, more lies, it never stops",Hillary Clinton,-1,-1,-3
#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues,Women,1,0,0
"#antichoice NEVER try to police men over sex, but punishing women puts  them into a frenzy.",Women,-1,-1,0
#greta Trump is absolutely on fire right now! He is a good man with a great family. He is the medicine this country needs!,Donald Trump,2,2,3
#hillaryclinton is a champion of data removal.,Hillary Clinton,-2,-1,-2
#mtp @user How is deleting emails -part of the government record -different from erasing parts of a tape? #nixon #p2,Hillary Clinton,0,0,-2
"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices",Women,2,1,2
#yesallwomen are #always #unstoppable if they cry to get their way #likeagirl   #GamerGate,Women,0,-1,0
& I bet that @HillaryClinton is thee best choice for President in 2016she's the next best one for the people  #Vote,Donald Trump,1,1,-1
& I bet that @HillaryClinton is thee best choice for President in 2016she's the next best one for the people  #Vote,Hillary Clinton,2,2,3
"''this is the planet on which we live, it's the only one we've got and we've got to protect it.'' #Obama #Attenborough",Barack Obama,1,2,1
"''this is the planet on which we live, it's the only one we've got and we've got to protect it.'' #Obama #Attenborough",Environmentalists,1,2,2
'Hillary-speak' campaign rhetoric is going to be the death of me. @user,Hillary Clinton,0,-1,-1
"*watching house of cards with my dad* ""I could be First Lady."" ""Why not president?"" ""YEAH DAD! Next woman president right here!""",Women,1,1,2
. @realDonaldTrump American was great until you embarrassed us all to death,Donald Trump,-1,-2,-2
...because #god made it that way is literally not ever the answer. Keep curiosity alive.,Religious people,-1,-1,-1
