Target,Text,Score,Dimension,Annotator_ID
Women,Women who falsely accuse men of rape DO NOT care about exploting the suffering of real rape victims.  #GamerGate,2,Competence,Annotator_1
Donald Trump,"@realDonaldTrump don't care what anybody says. In November 2016, you will have my vote. Where can I get your bumper sticker??",1,Competence,Annotator_1
Hillary Clinton,@user @user Hillary's doing the right thing -- staying focus on her campaign.,0,Competence,Annotator_1
Hillary Clinton,I dreamt about Hilary Clinton last night. Does this mean her plans to control us and take over the world are coming true?,-3,Competence,Annotator_1
Hillary Clinton,So @HillaryClinton received a Subpoena to Testify & She ignored it! Is Hillary above The Law Now?,-1,Competence,Annotator_1
Hillary Clinton,Democrats want power for themselves. Republicans will give YOU the power! #Election2016,0,Competence,Annotator_1
Hillary Clinton,"Hillary has lied, deleted Benghazi emails, and betrayed the trust of Americans scandal after scandal.",1,Competence,Annotator_1
Donald Trump,I'm voting for Donald Trump this election #waitonit,0,Competence,Annotator_1
Donald Trump,@realDonaldTrump the left should get off your back!  By the LAW anyone that crosses the border illegally is a criminal.,0,Competence,Annotator_1
Hillary Clinton,"If Hillary will lock Americans in classrooms during her campaign, she'll have no problems locking us all up whenever she wants.",0,Competence,Annotator_1
Donald Trump,"@realDonaldTrump has formed the ""Racistublicans"". The political party for old fat assholes. #Racistublicans  #Republicans",-2,Competence,Annotator_1
Religious people,I don't believe in the hereafter.  I believe in the here and now.,0,Competence,Annotator_1
Hillary Clinton,@HillaryClinton Are those women #BillClinton's next targets for assault? #MonicaLewinsky #WarOnWomen #HillaryClinton #tlot,0,Competence,Annotator_1
Donald Trump,"@realDonaldTrump Mr President , let me tell you something . Nothing reigns in this country . They’re ELECTED and you’re doing a lousy job . Just for the record I didn’t vote for you last time and I found I was right not to . You’re a disgrace to the not only this country but the entire world .",1,Competence,Annotator_1
Religious people,Bigger problems 4 #Christians than same sex #marriage: #worldhunger #cleanwater #sextrafficking #slavelabor #womensrights #thelost,1,Competence,Annotator_1
Women,"Not your uterus, not your choice--from conception on, it really is THAT simple! #fem2gen #YesAllWomen",0,Competence,Annotator_1
Women,BIG BOOTY BITCHES BIG BIG BOOTY BITCHES,-2,Competence,Annotator_1
Hillary Clinton,Liberalism is the politics of personal destruction! If Liberals can't win- they will lie & demonize! They are paid to attack!,0,Competence,Annotator_1
Donald Trump,These noodles on my head are so hard to comb!,-2,Competence,Annotator_1
Women,Women get paid far more than men to appear in pornography. How come no one is talking about this blatant sexism?!  @user,-1,Competence,Annotator_1
Hillary Clinton,Does #hillaryclinton lie and engage in cover-ups to do damage to the country or does she do it out of habit?  #tcot #uniteblue,-1,Competence,Annotator_1
Barack Obama,"IRS + Hillary Both ""Lost"" Government Emails: This Situation is as Clear as Day - The #Obama Admin is Destroying Evidence!",-1,Competence,Annotator_1
Barack Obama,"@GOP Obamacare stays and the Confederate flag goes. You guys have had quite the shitty week, haven't you?",1,Competence,Annotator_1
Hillary Clinton,"@HillaryClinton Your treatment of the press, Amb Stevens' fam, and the intel of the American ppl is enough to send you to jail",-1,Competence,Annotator_1
Hillary Clinton,Hilly & Barry's Bloody Benghazi Bamboozle #HillaryIceCreamFlavors   #tcot #WakeUpAmerica,0,Competence,Annotator_1
Donald Trump,@HillaryClinton @user we need to re-establish a #global system dominated by love and affection have #moral_humane RT,1,Competence,Annotator_1
Religious people,"Who cares if this person or that person is xtian or atheist. Polpott, hitler or mao.   God still does not exist.",-1,Competence,Annotator_1
Donald Trump,@realDonaldTrump is the ONLY candidate with BALLS!!!!!,0,Competence,Annotator_1
Women,Independence Day is a day where men get wasted and dehumanize women by blowing off fireworks! #endJuly4th,-2,Competence,Annotator_1
Hillary Clinton,"Just met an awesome supporter on the CX bus! He said ""Hillary is one strong woman and we need that for our country."" #FellowsNV",0,Competence,Annotator_1
Hillary Clinton,@user She would have to have a conscious to be haunted. @user #killary #Marxism,-1,Competence,Annotator_1
Hillary Clinton,There's a special place in hell for those who complain more about Hillary than the scum we're fighting. #Obama,0,Competence,Annotator_1
